                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79614,                 1.3828,                0.74002,                 1.0797,                0.72946,                0.58499,                0.61965,                0.46212,                0.74171,                0.56542,                0.60833,                0.42704,                 1.0322,                 2.0638,                 1.3065,                 1.2072,             0.00030185,             0.00030185,             0.00030185
                      2,                0.82778,                 1.4666,                0.76952,                 1.0922,                0.73851,                0.56837,                0.59922,                0.43096,                0.73011,                0.55531,                0.58567,                0.40268,                 1.0799,                  2.174,                 1.3676,                 1.2474,             0.00059288,             0.00059288,             0.00059288
                      3,                 0.8501,                  1.495,                0.81308,                 1.1026,                0.69687,                0.55908,                0.59171,                0.42224,                0.68935,                 0.5508,                0.58422,                  0.396,                 1.1404,                 2.2524,                 1.3976,                  1.289,              0.0008719,              0.0008719,              0.0008719
                      4,                0.86368,                 1.5424,                 0.8392,                 1.1153,                0.70276,                0.55952,                0.59298,                0.42224,                0.72683,                0.55743,                0.58983,                0.39716,                 1.1026,                   2.28,                 1.3779,                 1.2624,             0.00085501,             0.00085501,             0.00085501
                      5,                0.87738,                 1.5367,                0.83791,                 1.1186,                 0.6708,                0.55716,                0.57409,                0.40407,                0.66604,                0.55354,                0.56166,                0.39009,                 1.1711,                 2.2375,                 1.4488,                 1.3149,             0.00085501,             0.00085501,             0.00085501
                      6,                0.87337,                 1.5538,                0.85395,                 1.1236,                0.71234,                  0.552,                0.59237,                0.42623,                 0.7074,                0.55094,                0.57933,                0.40296,                 1.1125,                   2.14,                  1.344,                 1.2692,             0.00083701,             0.00083701,             0.00083701
                      7,                0.86975,                 1.5326,                0.83637,                 1.1152,                0.69208,                0.56558,                0.58508,                0.41955,                 0.6985,                  0.548,                 0.5765,                0.39419,                 1.1425,                 2.2309,                 1.4503,                 1.2969,             0.00081901,             0.00081901,             0.00081901
                      8,                0.87421,                 1.5335,                0.83971,                 1.1173,                0.69037,                 0.5872,                0.60723,                0.44557,                0.70246,                0.54792,                0.58441,                0.41357,                 1.1015,                 2.2357,                 1.3405,                  1.249,             0.00080101,             0.00080101,             0.00080101
                      9,                0.85839,                 1.5175,                0.82184,                 1.1084,                0.76266,                0.54272,                0.59975,                0.43536,                0.76076,                0.54006,                0.58614,                0.40152,                 1.1252,                  2.171,                 1.3996,                  1.268,             0.00078301,             0.00078301,             0.00078301
                     10,                0.86966,                 1.5402,                0.82506,                 1.1148,                0.69383,                0.53333,                0.56799,                0.40912,                0.69056,                0.53036,                   0.56,                0.38227,                 1.1187,                 2.2263,                 1.3855,                 1.2569,             0.00076501,             0.00076501,             0.00076501
                     11,                0.85686,                 1.5023,                0.80625,                   1.11,                0.71275,                 0.5687,                0.60542,                0.43832,                0.71728,                0.55645,                0.59301,                0.41792,                 1.1151,                 2.1373,                 1.4144,                 1.2729,             0.00074702,             0.00074702,             0.00074702
                     12,                0.85574,                 1.5051,                0.80395,                 1.1059,                0.73331,                 0.5792,                0.61581,                0.43839,                 0.7338,                0.57029,                0.60414,                0.41758,                  1.115,                 2.2075,                 1.3307,                 1.2565,             0.00072902,             0.00072902,             0.00072902
                     13,                0.84077,                 1.4739,                0.79518,                  1.104,                0.71803,                0.58941,                0.60879,                0.44234,                0.71603,                0.58197,                0.60197,                0.42279,                 1.1147,                 2.1144,                 1.3024,                 1.2809,             0.00071102,             0.00071102,             0.00071102
                     14,                0.85078,                  1.498,                0.79378,                 1.1011,                0.70473,                0.55731,                0.59368,                0.42869,                0.70452,                0.54613,                0.57973,                0.39547,                 1.1235,                 2.2585,                 1.3945,                 1.2652,             0.00069302,             0.00069302,             0.00069302
                     15,                0.85092,                 1.5055,                0.79515,                 1.1029,                0.74425,                0.55165,                0.60241,                0.43784,                 0.7433,                0.54694,                0.58945,                0.41537,                 1.1044,                 2.3373,                   1.38,                 1.2629,             0.00067502,             0.00067502,             0.00067502
                     16,                0.84547,                 1.4846,                0.79207,                 1.1071,                0.70596,                0.56985,                0.59492,                0.42821,                0.69648,                0.56372,                0.58409,                0.40699,                 1.1146,                 2.2595,                 1.3588,                 1.2756,             0.00065703,             0.00065703,             0.00065703
                     17,                0.83717,                 1.4815,                0.78263,                 1.0971,                0.70192,                0.56832,                0.58543,                0.42042,                0.69779,                 0.5646,                0.57851,                0.40112,                 1.1237,                 2.2602,                 1.3551,                 1.2708,             0.00063903,             0.00063903,             0.00063903
                     18,                0.83437,                 1.4639,                0.77898,                 1.0947,                0.69614,                0.58701,                0.60106,                0.43665,                 0.7042,                0.58193,                0.59451,                0.41203,                 1.0996,                 2.1758,                 1.3766,                 1.2494,             0.00062103,             0.00062103,             0.00062103
                     19,                0.83086,                 1.4497,                0.77079,                 1.0941,                 0.7213,                0.55994,                0.59991,                0.43167,                0.71304,                 0.5527,                0.58093,                0.40139,                 1.0924,                 2.2797,                  1.379,                 1.2462,             0.00060303,             0.00060303,             0.00060303
                     20,                0.82987,                 1.4413,                0.76966,                 1.0912,                 0.7017,                0.59715,                0.61968,                 0.4502,                0.70825,                0.58146,                0.60765,                0.42559,                 1.0791,                 2.1071,                 1.3071,                 1.2505,             0.00058503,             0.00058503,             0.00058503
                     21,                0.81965,                 1.4409,                0.75968,                 1.0889,                0.72948,                0.57098,                 0.6151,                0.44173,                0.71627,                0.56977,                0.60357,                 0.4205,                 1.0966,                 2.1924,                  1.366,                  1.265,             0.00056703,             0.00056703,             0.00056703
                     22,                0.81856,                 1.4262,                0.74959,                 1.0827,                0.72535,                 0.5511,                0.59003,                0.42928,                0.72358,                0.54581,                0.58254,                0.40748,                 1.1057,                 2.1522,                 1.3847,                 1.2757,             0.00054904,             0.00054904,             0.00054904
                     23,                0.82543,                 1.4366,                0.75319,                 1.0903,                0.73928,                0.57928,                0.61368,                0.44805,                0.73994,                0.57612,                0.60459,                0.42763,                  1.117,                 2.2367,                 1.3637,                 1.2885,             0.00053104,             0.00053104,             0.00053104
                     24,                0.80746,                  1.399,                0.74515,                 1.0814,                0.71912,                0.56672,                0.60776,                0.44454,                 0.7097,                 0.5593,                0.59401,                0.42395,                 1.0942,                 2.1518,                 1.3334,                 1.2869,             0.00051304,             0.00051304,             0.00051304
                     25,                0.81216,                 1.4194,                0.74473,                  1.081,                0.70189,                0.58154,                0.60814,                0.45057,                0.69579,                0.57654,                0.59926,                0.42374,                 1.0523,                 2.1286,                 1.3267,                 1.2272,             0.00049504,             0.00049504,             0.00049504
                     26,                0.80698,                 1.3977,                0.73875,                 1.0785,                0.69639,                0.60513,                0.61806,                0.45399,                0.69056,                0.58753,                0.60376,                0.42899,                 1.0765,                 2.1002,                 1.3005,                 1.2457,             0.00047704,             0.00047704,             0.00047704
                     27,                0.80643,                 1.4044,                0.73655,                 1.0739,                 0.7293,                0.56577,                0.60793,                0.44347,                0.73355,                0.55716,                0.59927,                0.42445,                 1.0946,                 2.1583,                 1.3947,                 1.2629,             0.00045904,             0.00045904,             0.00045904
                     28,                0.80544,                 1.3911,                0.72841,                  1.077,                 0.7133,                0.56767,                0.61041,                 0.4412,                0.69278,                0.56286,                0.59583,                0.41518,                 1.0677,                 2.1419,                 1.3192,                 1.2377,             0.00044105,             0.00044105,             0.00044105
                     29,                0.79154,                 1.3773,                0.71008,                 1.0714,                0.73591,                0.56619,                0.60762,                0.44468,                0.73378,                0.55007,                 0.5893,                0.41637,                 1.0787,                 2.1458,                 1.3214,                 1.2528,             0.00042305,             0.00042305,             0.00042305
                     30,                0.79005,                 1.3711,                0.71279,                 1.0722,                0.69387,                0.59985,                0.62553,                0.46334,                0.67956,                0.59495,                0.61527,                0.43189,                 1.0365,                 2.1157,                 1.2693,                 1.2065,             0.00040505,             0.00040505,             0.00040505
                     31,                0.79295,                 1.3837,                0.70975,                 1.0708,                0.71902,                 0.5912,                0.61846,                0.45549,                0.74512,                0.57089,                0.60903,                 0.4324,                  1.078,                 2.1906,                 1.3284,                 1.2465,             0.00038705,             0.00038705,             0.00038705
                     32,                0.78698,                 1.3526,                0.70687,                 1.0727,                0.72638,                0.58365,                0.62217,                 0.4599,                0.72254,                0.56988,                0.60782,                 0.4353,                 1.0552,                 2.1614,                 1.2872,                 1.2347,             0.00036905,             0.00036905,             0.00036905
                     33,                0.78948,                 1.3696,                 0.7121,                 1.0694,                0.72692,                0.59106,                0.62977,                0.46078,                0.71725,                0.58238,                 0.6128,                0.43409,                 1.0673,                 2.1637,                 1.2993,                 1.2369,             0.00035106,             0.00035106,             0.00035106
                     34,                0.77736,                 1.3543,                0.68887,                 1.0593,                0.71651,                0.59189,                0.61643,                0.45446,                0.71191,                0.57782,                0.60535,                0.42965,                 1.0562,                 2.1759,                 1.3182,                 1.2315,             0.00033306,             0.00033306,             0.00033306
                     35,                0.77484,                 1.3392,                0.69004,                 1.0586,                0.75013,                0.55056,                0.60991,                0.44754,                0.74573,                0.54577,                0.60333,                0.42202,                 1.0891,                 2.1893,                 1.3478,                 1.2708,             0.00031506,             0.00031506,             0.00031506
                     36,                 0.7776,                 1.3398,                0.68824,                 1.0641,                0.74908,                0.56244,                0.61318,                 0.4491,                0.74037,                0.55958,                0.60279,                0.42394,                 1.0485,                 2.1347,                 1.3457,                 1.2248,             0.00029706,             0.00029706,             0.00029706
                     37,                0.77098,                 1.3372,                0.68911,                 1.0589,                 0.7666,                0.58175,                  0.618,                0.45283,                0.75493,                0.57315,                0.60907,                0.43405,                 1.0603,                 2.0824,                 1.3551,                 1.2365,             0.00027906,             0.00027906,             0.00027906
                     38,                0.77248,                 1.3266,                0.68391,                 1.0614,                0.75787,                0.56814,                0.61781,                0.45529,                0.75183,                0.56252,                0.60779,                0.43274,                  1.047,                 2.1537,                 1.3192,                 1.2135,             0.00026106,             0.00026106,             0.00026106
                     39,                0.76055,                 1.3076,                0.66733,                 1.0537,                0.73276,                0.59151,                0.60751,                0.45199,                0.72826,                0.58157,                0.60219,                0.42898,                 1.0713,                 2.2126,                 1.3646,                 1.2501,             0.00024307,             0.00024307,             0.00024307
                     40,                0.76023,                 1.2987,                0.66993,                 1.0537,                0.73429,                0.57882,                0.61412,                0.45363,                0.70687,                0.57793,                0.60044,                0.42757,                 1.0483,                 2.1881,                 1.3091,                 1.2335,             0.00022507,             0.00022507,             0.00022507
                     41,                0.77355,                  1.383,                0.67219,                 1.0689,                0.73674,                0.57351,                 0.6144,                0.45389,                0.71748,                0.56622,                0.60085,                0.42682,                 1.0339,                 2.1792,                 1.3139,                 1.2146,             0.00020707,             0.00020707,             0.00020707
                     42,                0.76062,                 1.3637,                0.64558,                 1.0547,                0.75545,                 0.5634,                0.61328,                0.45758,                 0.7562,                0.55373,                0.60438,                 0.4352,                 1.0456,                 2.1705,                   1.33,                  1.228,             0.00018907,             0.00018907,             0.00018907
