                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8518,                 5.6302,                 3.0701,                      0,                      0,                      0,                      0,                 3.5732,                 5.0551,                 2.8841,                      0,                      0,                      0
                      2,                 3.2876,                 5.3926,                  3.045,                      0,                      0,                      0,                      0,                 3.5482,                 5.0667,                  2.874,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 3.6734,                 5.6064,                  3.337,                      0,                      0,                      0,                      0,                 3.5183,                 5.0849,                 2.8825,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 3.4624,                 5.3882,                 3.6287,                      0,                      0,                      0,                      0,                 3.5082,                 5.0596,                 2.9017,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 3.6578,                 5.6478,                 3.5033,                      0,                      0,                      0,                      0,                 3.5165,                 5.0451,                 2.9112,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                  3.275,                 5.5754,                 3.3568,                      0,                      0,                      0,                      0,                 3.5414,                 5.0427,                 2.9329,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 3.3813,                 5.5233,                 3.0368,                      0,                      0,                      0,                      0,                  3.559,                  5.054,                 2.9174,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 3.3218,                 5.4366,                 3.1458,                      0,                      0,                      0,                      0,                 3.5709,                 5.0574,                 2.9167,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 3.5283,                 5.4996,                 3.0783,                      0,                      0,                      0,                      0,                 3.5692,                 5.0574,                 2.9243,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 3.4921,                   5.44,                 3.3521,                      0,                      0,                      0,                      0,                 3.5645,                 5.0691,                 2.9222,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 3.3583,                 5.5688,                 3.2571,                      0,                      0,                      0,                      0,                 3.5628,                 5.0749,                 2.9111,             1.0722e-05,             1.0722e-05,             1.0722e-05
