                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                 3.2271,                 5.7344,                 3.6002,                      0,                      0,                      0,                      0,                 3.5969,                 5.0749,                 2.9026,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 3.4733,                 5.4001,                 3.2539,                      0,                      0,                      0,                      0,                 3.5627,                 5.0795,                 2.9001,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 3.3883,                  5.475,                 3.1103,                      0,                      0,                      0,                      0,                 3.5345,                 5.0613,                 2.9047,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 2.9892,                 5.4032,                 3.1726,                      0,                      0,                      0,                      0,                 3.5122,                 5.0481,                 2.8926,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 3.1057,                  5.487,                 3.0663,                      0,                      0,                      0,                      0,                 3.5074,                 5.0285,                 2.8958,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 3.2615,                 5.3001,                 3.1633,                      0,                      0,                      0,                      0,                 3.5204,                 4.9972,                 2.8721,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 2.8497,                 5.3112,                 2.8788,                      0,                      0,                      0,                      0,                 3.5204,                 4.9972,                 2.8721,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 3.7762,                 5.9132,                  3.636,                      0,                      0,                      0,                      0,                 3.5044,                 5.0233,                 2.8678,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 3.3268,                 5.3617,                 3.3102,                      0,                      0,                      0,                      0,                 3.5044,                 5.0233,                 2.8678,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                  3.876,                 6.1335,                 4.0998,                      0,                      0,                      0,                      0,                 3.4838,                 5.0288,                 2.8484,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 2.9713,                 5.4131,                 2.6186,                      0,                      0,                      0,                      0,                 3.4838,                 5.0288,                 2.8484,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 2.8944,                 5.3817,                 2.8272,                      0,                      0,                      0,                      0,                 3.4018,                 5.0171,                 2.8388,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 3.0903,                 5.3292,                  3.014,                      0,                      0,                      0,                      0,                 3.4018,                 5.0171,                 2.8388,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                 3.2051,                 5.4736,                 3.1805,                      0,                      0,                      0,                      0,                 3.3575,                   5.03,                 2.8188,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 2.8205,                 5.3033,                 2.8424,                      0,                      0,                      0,                      0,                 3.3575,                   5.03,                 2.8188,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 2.6927,                 5.3447,                 2.7085,                      0,                      0,                      0,                      0,                 3.3796,                  5.049,                 2.8171,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 3.0898,                 5.3366,                 3.1405,                      0,                      0,                      0,                      0,                 3.3796,                  5.049,                 2.8171,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                 2.7165,                 5.7241,                 2.6803,                      0,                      0,                      0,                      0,                 3.3861,                 5.0821,                 2.8164,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 2.5995,                 5.1725,                 2.6199,                      0,                      0,                      0,                      0,                 3.3861,                 5.0821,                 2.8164,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                  2.986,                 5.6346,                 2.9263,                      0,                      0,                      0,                      0,                 3.4171,                 5.0983,                 2.8255,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 2.9185,                 5.3603,                 2.7026,                      0,                      0,                      0,                      0,                 3.4171,                 5.0983,                 2.8255,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 2.9626,                 5.2661,                 2.9129,                      0,                      0,                      0,                      0,                 3.3971,                 5.1019,                 2.8135,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 3.1511,                 5.2817,                 3.1441,                      0,                      0,                      0,                      0,                 3.3971,                 5.1019,                 2.8135,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 2.8175,                 5.2474,                 2.7759,                      0,                      0,                      0,                      0,                 3.3825,                 5.1136,                 2.7899,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                  3.491,                  6.149,                 3.7052,                      0,                      0,                      0,                      0,                 3.3825,                 5.1136,                 2.7899,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 2.7797,                 5.5237,                  2.865,                      0,                      0,                      0,                      0,                 3.3355,                 5.0878,                 2.7276,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 2.8836,                 5.3623,                 2.9188,                      0,                      0,                      0,                      0,                 3.3355,                 5.0878,                 2.7276,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 3.5668,                 5.4989,                 3.4051,                      0,                      0,                      0,                      0,                  3.261,                 5.0865,                 2.6899,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 2.7911,                 5.3409,                  2.683,                      0,                      0,                      0,                      0,                  3.261,                 5.0865,                 2.6899,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 2.6324,                 5.2442,                 2.6432,                      0,                      0,                      0,                      0,                 3.2457,                 5.0869,                 2.6988,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                  3.053,                 5.2216,                 3.0589,                      0,                      0,                      0,                      0,                 3.2457,                 5.0869,                 2.6988,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 3.1541,                 5.5821,                 3.1223,                      0,                      0,                      0,                      0,                 3.2275,                 5.0849,                 2.7157,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 2.9537,                 5.2781,                 3.0446,                      0,                      0,                      0,                      0,                 3.2275,                 5.0849,                 2.7157,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 2.6045,                 5.1824,                 2.9153,                      0,                      0,                      0,                      0,                 3.2193,                 5.0967,                 2.7058,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 2.7577,                 5.2723,                 2.8289,                      0,                      0,                      0,                      0,                 3.2193,                 5.0967,                 2.7058,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 2.5529,                 5.1818,                 2.6184,                      0,                      0,                      0,                      0,                 3.2294,                 5.1072,                 2.7056,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 2.7755,                 5.2052,                 2.9691,                      0,                      0,                      0,                      0,                 3.2294,                 5.1072,                 2.7056,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 2.7751,                  5.348,                 2.8956,                      0,                      0,                      0,                      0,                 3.2549,                 5.1193,                 2.7177,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 2.6521,                 5.2273,                 2.8289,                      0,                      0,                      0,                      0,                 3.2549,                 5.1193,                 2.7177,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 2.8472,                 5.0699,                 2.8203,                      0,                      0,                      0,                      0,                 3.2266,                 5.1433,                 2.7373,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 2.7025,                 5.2725,                 2.9071,                      0,                      0,                      0,                      0,                 3.2266,                 5.1433,                 2.7373,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 2.4895,                 5.2011,                 2.6746,                      0,                      0,                      0,                      0,                 3.2266,                 5.1433,                 2.7373,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 2.5848,                 5.1262,                 2.6328,                      0,                      0,                      0,                      0,                 3.1703,                 5.1235,                 2.7019,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 2.4916,                 4.9063,                 2.6357,                      0,                      0,                      0,                      0,                 3.1703,                 5.1235,                 2.7019,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 2.6228,                 5.1746,                 2.5856,                      0,                      0,                      0,                      0,                 3.1703,                 5.1235,                 2.7019,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 2.6748,                 5.1833,                 2.7222,                      0,                      0,                      0,                      0,                 3.0995,                 5.1336,                 2.6758,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 2.6175,                 5.1989,                  2.576,                      0,                      0,                      0,                      0,                 3.0995,                 5.1336,                 2.6758,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 3.2106,                 5.2358,                 3.4487,                      0,                      0,                      0,                      0,                 3.0995,                 5.1336,                 2.6758,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 2.5184,                 5.2095,                 2.7027,                      0,                      0,                      0,                      0,                 3.0822,                 5.1417,                  2.657,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 2.4176,                 5.1209,                 2.5655,                      0,                      0,                      0,                      0,                 3.0822,                 5.1417,                  2.657,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 2.8471,                  5.276,                 3.0165,                      0,                      0,                      0,                      0,                 3.0822,                 5.1417,                  2.657,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 2.3313,                 5.1426,                 2.5295,                      0,                      0,                      0,                      0,                 3.0775,                 5.1538,                 2.6677,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                  2.508,                 5.2917,                 2.5877,                      0,                      0,                      0,                      0,                 3.0775,                 5.1538,                 2.6677,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 2.4593,                 5.2836,                 2.5004,                      0,                      0,                      0,                      0,                 3.0775,                 5.1538,                 2.6677,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 2.4258,                 5.3175,                  2.351,                      0,                      0,                      0,                      0,                 3.0551,                   5.19,                 2.7159,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                  2.455,                 5.2169,                 2.5299,                      0,                      0,                      0,                      0,                 3.0551,                   5.19,                 2.7159,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 2.3909,                 5.1211,                 2.4057,                      0,                      0,                      0,                      0,                 3.0551,                   5.19,                 2.7159,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 2.6041,                 5.2185,                 2.5249,                      0,                      0,                      0,                      0,                 3.0247,                 5.1852,                 2.7004,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 2.6599,                  5.268,                 2.6782,                      0,                      0,                      0,                      0,                 3.0247,                 5.1852,                 2.7004,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 2.6681,                 5.0407,                 2.8675,                      0,                      0,                      0,                      0,                 3.0247,                 5.1852,                 2.7004,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 2.5913,                 5.3315,                 2.6015,                      0,                      0,                      0,                      0,                 3.0063,                 5.2069,                 2.7168,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 2.3537,                 5.0478,                 2.5582,                      0,                      0,                      0,                      0,                 3.0063,                 5.2069,                 2.7168,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 2.4417,                 5.1521,                 2.6124,                      0,                      0,                      0,                      0,                 3.0063,                 5.2069,                 2.7168,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 2.4349,                  5.243,                 2.3862,                      0,                      0,                      0,                      0,                 3.0004,                 5.2253,                 2.7134,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 2.4295,                 5.1114,                 2.5171,                      0,                      0,                      0,                      0,                 3.0004,                 5.2253,                 2.7134,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 2.2728,                 4.9429,                 2.3448,                      0,                      0,                      0,                      0,                 3.0004,                 5.2253,                 2.7134,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 2.5095,                 5.1303,                 2.5554,                      0,                      0,                      0,                      0,                 2.9756,                 5.2444,                 2.7308,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 2.8137,                 5.2458,                 2.9113,                      0,                      0,                      0,                      0,                 2.9756,                 5.2444,                 2.7308,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 2.4359,                 5.0727,                 2.4775,                      0,                      0,                      0,                      0,                 2.9756,                 5.2444,                 2.7308,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 2.4348,                  5.158,                 2.6115,                      0,                      0,                      0,                      0,                  2.945,                 5.2407,                 2.7429,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 2.3295,                 5.1169,                 2.6019,                      0,                      0,                      0,                      0,                  2.945,                 5.2407,                 2.7429,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 2.4153,                 5.0091,                 2.4348,                      0,                      0,                      0,                      0,                  2.945,                 5.2407,                 2.7429,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 2.4774,                 5.3012,                 2.4191,                      0,                      0,                      0,                      0,                 2.9398,                 5.2438,                 2.7432,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 2.3255,                  5.014,                 2.4415,                      0,                      0,                      0,                      0,                 2.9398,                 5.2438,                 2.7432,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 2.4571,                 4.9335,                 2.4535,                      0,                      0,                      0,                      0,                 2.9398,                 5.2438,                 2.7432,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 2.3731,                 5.0799,                 2.4985,                      0,                      0,                      0,                      0,                 2.9398,                 5.2438,                 2.7432,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 2.1473,                 5.1458,                 2.3646,                      0,                      0,                      0,                      0,                 2.9074,                 5.2369,                 2.7427,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 2.1348,                 4.9549,                 2.2274,                      0,                      0,                      0,                      0,                 2.9074,                 5.2369,                 2.7427,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 2.8432,                 5.3936,                 2.9619,                      0,                      0,                      0,                      0,                 2.9074,                 5.2369,                 2.7427,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 2.1444,                 5.2952,                 2.4391,                      0,                      0,                      0,                      0,                 2.9074,                 5.2369,                 2.7427,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 2.0985,                 5.2507,                 2.4391,                      0,                      0,                      0,                      0,                 2.8882,                 5.2306,                 2.7455,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 2.3113,                 5.2865,                 2.6449,                      0,                      0,                      0,                      0,                 2.8882,                 5.2306,                 2.7455,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 2.3773,                  5.566,                  2.545,                      0,                      0,                      0,                      0,                 2.8882,                 5.2306,                 2.7455,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                 2.1695,                 5.4147,                 2.2066,                      0,                      0,                      0,                      0,                 2.8882,                 5.2306,                 2.7455,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 2.1551,                 5.3173,                 2.4268,                      0,                      0,                      0,                      0,                 2.9283,                 5.2595,                 2.7506,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 2.4333,                 5.5535,                 2.2546,                      0,                      0,                      0,                      0,                 2.9283,                 5.2595,                 2.7506,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 2.1113,                 5.2241,                 2.5105,                      0,                      0,                      0,                      0,                 2.9283,                 5.2595,                 2.7506,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 2.3455,                 5.2112,                 2.5829,                      0,                      0,                      0,                      0,                 2.9283,                 5.2595,                 2.7506,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 2.1915,                 5.3864,                 2.4258,                      0,                      0,                      0,                      0,                  2.933,                 5.2456,                  2.758,             2.3444e-06,             2.3444e-06,             2.3444e-06
