                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91332,                 1.6423,                0.97155,                 1.1577,                0.72617,                0.55108,                0.60022,                0.43514,                0.71523,                0.53746,                0.57937,                0.41334,                 1.0731,                 2.0114,                 1.3423,                 1.2228,             0.00030185,             0.00030185,             0.00030185
                      2,                0.94766,                 1.7497,                 1.0042,                 1.1722,                0.69706,                0.54345,                0.58248,                 0.4085,                0.69753,                0.54737,                0.57994,                0.39128,                 1.1621,                   2.16,                 1.4501,                  1.312,             0.00059288,             0.00059288,             0.00059288
                      3,                0.97418,                 1.7893,                 1.0411,                  1.187,                0.66924,                0.53599,                0.55902,                0.38834,                0.67475,                0.52862,                0.55027,                0.36767,                 1.1723,                 2.1642,                 1.4344,                  1.309,              0.0008719,              0.0008719,              0.0008719
                      4,                0.98472,                 1.8174,                 1.0646,                  1.196,                 0.6854,                0.53168,                0.56667,                0.39514,                0.68201,                0.52594,                0.55828,                0.37622,                 1.1804,                 2.2566,                 1.4675,                 1.3263,             0.00085501,             0.00085501,             0.00085501
                      5,                0.99484,                 1.8063,                 1.0583,                 1.1991,                0.69269,                0.54284,                0.57425,                0.39256,                0.68982,                0.54387,                0.56936,                0.38141,                 1.2021,                 2.2381,                 1.4341,                 1.3314,             0.00085501,             0.00085501,             0.00085501
                      6,                0.97789,                 1.7897,                 1.0516,                 1.1948,                 0.6401,                0.50961,                0.53153,                0.36021,                0.63097,                0.50322,                0.52199,                0.34503,                 1.1927,                 2.1947,                 1.5256,                  1.328,             0.00083701,             0.00083701,             0.00083701
                      7,                0.97228,                 1.7608,                 1.0256,                 1.1852,                0.69383,                0.52257,                0.57376,                0.40673,                0.68923,                0.51438,                 0.5628,                0.39074,                 1.1488,                 2.2319,                 1.4631,                 1.2774,             0.00081901,             0.00081901,             0.00081901
                      8,                0.96818,                 1.7602,                 1.0234,                 1.1814,                0.66682,                0.56183,                0.58589,                0.41373,                0.65559,                0.55139,                0.56982,                0.39245,                 1.1442,                 2.1387,                 1.3747,                 1.2781,             0.00080101,             0.00080101,             0.00080101
                      9,                0.95561,                 1.7374,                 1.0019,                  1.173,                0.71058,                0.54129,                0.58735,                0.42473,                0.69093,                0.54127,                0.57645,                 0.4021,                  1.139,                 2.1835,                 1.3769,                 1.2728,             0.00078301,             0.00078301,             0.00078301
                     10,                0.95412,                  1.743,                0.98953,                 1.1725,                  0.691,                 0.5155,                0.57177,                0.39817,                0.68612,                 0.5103,                0.55673,                0.37641,                 1.1583,                 2.1686,                 1.3782,                  1.289,             0.00076501,             0.00076501,             0.00076501
                     11,                0.94001,                 1.6963,                0.95892,                 1.1664,                0.70821,                0.57975,                0.60361,                 0.4274,                0.70686,                0.57701,                0.59755,                0.40907,                 1.1266,                  2.069,                 1.3606,                  1.259,             0.00074702,             0.00074702,             0.00074702
                     12,                0.94084,                 1.7051,                0.95654,                  1.162,                0.66182,                 0.5454,                0.57867,                0.40781,                0.69823,                0.51707,                0.56066,                 0.3827,                  1.155,                 2.1708,                 1.4251,                 1.2886,             0.00072902,             0.00072902,             0.00072902
                     13,                0.91897,                  1.659,                0.94552,                 1.1552,                0.68672,                0.58059,                0.59628,                0.41997,                0.68173,                0.57157,                0.58274,                0.39806,                 1.1109,                 2.1313,                 1.3682,                 1.2487,             0.00071102,             0.00071102,             0.00071102
                     14,                0.92745,                 1.6814,                0.93861,                 1.1536,                0.69085,                0.55505,                0.58738,                0.42242,                0.68717,                0.55147,                0.57736,                 0.3986,                  1.111,                 2.1383,                 1.4033,                  1.244,             0.00069302,             0.00069302,             0.00069302
                     15,                0.92605,                  1.681,                0.92872,                 1.1512,                0.74001,                0.54567,                0.60361,                0.43364,                0.73815,                0.54662,                0.59595,                0.41336,                 1.1204,                 2.1339,                 1.3463,                 1.2614,             0.00067502,             0.00067502,             0.00067502
                     16,                0.92401,                 1.6725,                0.93214,                 1.1574,                 0.6974,                0.56145,                0.59861,                0.41978,                0.69277,                0.55334,                0.58502,                0.40055,                 1.1243,                 2.0958,                 1.3799,                 1.2663,             0.00065703,             0.00065703,             0.00065703
                     17,                0.91705,                  1.664,                0.92589,                  1.149,                0.68726,                0.54238,                0.57969,                0.40723,                0.71147,                0.52224,                0.57226,                0.39369,                 1.1297,                 2.1995,                 1.4172,                 1.2659,             0.00063903,             0.00063903,             0.00063903
                     18,                0.91011,                 1.6447,                0.91643,                 1.1437,                0.73826,                0.54052,                 0.5906,                0.42046,                0.72923,                0.54176,                0.57264,                0.39623,                 1.1006,                 2.1116,                 1.3663,                 1.2515,             0.00062103,             0.00062103,             0.00062103
                     19,                0.90208,                 1.6225,                0.90001,                 1.1412,                0.71202,                0.55926,                0.59919,                0.42848,                0.71543,                0.53467,                0.58031,                0.40512,                 1.0903,                  2.185,                 1.3703,                 1.2246,             0.00060303,             0.00060303,             0.00060303
                     20,                0.90532,                 1.6119,                0.89472,                 1.1398,                0.72583,                0.57365,                0.61832,                0.44863,                0.71536,                0.56459,                 0.6073,                0.42088,                 1.0693,                 2.0002,                 1.2887,                  1.216,             0.00058503,             0.00058503,             0.00058503
                     21,                0.89309,                 1.6103,                0.88091,                 1.1355,                0.71228,                0.59598,                0.61715,                0.44281,                0.70732,                0.59242,                0.60865,                0.41664,                 1.0895,                 2.1423,                 1.3522,                 1.2394,             0.00056703,             0.00056703,             0.00056703
                     22,                0.88164,                 1.5837,                0.86449,                 1.1252,                0.67749,                0.56459,                0.58454,                0.41872,                0.68085,                0.56593,                 0.5781,                0.39762,                 1.0821,                 2.0448,                 1.3406,                 1.2367,             0.00054904,             0.00054904,             0.00054904
                     23,                0.89012,                 1.5896,                0.86455,                 1.1306,                0.72422,                0.56166,                0.60668,                0.43716,                0.71999,                 0.5583,                0.59949,                 0.4184,                 1.0976,                 2.0646,                 1.3069,                 1.2662,             0.00053104,             0.00053104,             0.00053104
                     24,                0.87013,                 1.5489,                0.85586,                 1.1209,                 0.6603,                0.59459,                0.61272,                0.44523,                 0.6748,                0.57152,                0.60115,                0.42304,                 1.0629,                 2.0115,                 1.2914,                 1.2243,             0.00051304,             0.00051304,             0.00051304
                     25,                0.87713,                 1.5733,                0.85376,                 1.1228,                0.74535,                0.57147,                0.61983,                 0.4522,                0.73444,                0.56416,                0.60844,                0.42415,                 1.0614,                 2.0248,                 1.2694,                 1.2046,             0.00049504,             0.00049504,             0.00049504
                     26,                0.86807,                 1.5428,                0.84361,                 1.1186,                0.70915,                0.57577,                0.61307,                0.45169,                0.69842,                0.56569,                 0.5996,                0.42559,                 1.0684,                 2.0363,                 1.3363,                 1.2213,             0.00047704,             0.00047704,             0.00047704
                     27,                0.86528,                 1.5437,                0.83819,                 1.1119,                0.74567,                0.56963,                0.62526,                0.45888,                0.74746,                0.55969,                0.61755,                0.43426,                 1.0378,                 2.0659,                 1.2639,                 1.2033,             0.00045904,             0.00045904,             0.00045904
                     28,                0.86191,                 1.5368,                0.82974,                 1.1151,                0.75134,                  0.552,                0.62013,                0.45597,                0.74215,                0.55058,                0.60802,                0.43449,                 1.0438,                 2.0045,                 1.3008,                 1.2022,             0.00044105,             0.00044105,             0.00044105
                     29,                0.84879,                 1.5142,                0.81345,                 1.1087,                0.72159,                 0.5711,                0.61635,                0.44714,                0.72714,                0.56647,                0.60296,                0.42614,                 1.0712,                 1.9837,                 1.2905,                  1.231,             0.00042305,             0.00042305,             0.00042305
                     30,                0.84848,                 1.5033,                0.80735,                 1.1089,                 0.7131,                 0.5753,                0.62165,                0.46051,                0.71461,                0.56074,                0.61151,                0.43266,                 1.0411,                 2.0586,                 1.2656,                 1.1929,             0.00040505,             0.00040505,             0.00040505
                     31,                0.84816,                 1.5057,                0.80078,                 1.1043,                0.71227,                0.59141,                0.61806,                0.45995,                0.70226,                0.58398,                0.60494,                0.43479,                 1.0691,                 2.0886,                    1.3,                 1.2263,             0.00038705,             0.00038705,             0.00038705
                     32,                 0.8407,                 1.4772,                0.79377,                 1.1061,                0.73937,                0.58152,                0.62534,                0.46077,                0.74147,                0.57772,                0.61678,                0.43452,                 1.0354,                 2.0442,                 1.2881,                 1.1881,             0.00036905,             0.00036905,             0.00036905
                     33,                0.84543,                  1.499,                0.79977,                 1.1043,                0.73665,                0.56016,                0.62474,                0.45678,                0.72818,                0.55456,                0.60998,                0.42856,                 1.0533,                  2.057,                 1.3191,                 1.2068,             0.00035106,             0.00035106,             0.00035106
                     34,                0.82891,                 1.4795,                0.77481,                 1.0925,                0.72532,                0.58155,                0.62078,                0.45246,                0.72957,                0.57694,                0.61206,                0.43245,                 1.0423,                 2.0586,                 1.2953,                 1.1987,             0.00033306,             0.00033306,             0.00033306
                     35,                0.82622,                 1.4678,                0.77231,                 1.0897,                 0.7209,                  0.581,                 0.6242,                0.45703,                 0.7426,                0.56542,                 0.6153,                0.42875,                  1.042,                 1.9815,                 1.2738,                 1.2015,             0.00031506,             0.00031506,             0.00031506
                     36,                0.82524,                 1.4567,                0.76868,                 1.0944,                0.73203,                0.57444,                0.62251,                0.45891,                0.72533,                  0.568,                 0.6152,                0.43087,                 1.0499,                 2.0632,                 1.2951,                 1.2109,             0.00029706,             0.00029706,             0.00029706
                     37,                0.82045,                 1.4572,                0.77109,                 1.0888,                0.73611,                0.57972,                0.62002,                0.45181,                0.72458,                0.57671,                0.60798,                0.42873,                 1.0517,                 2.0104,                 1.3125,                 1.2065,             0.00027906,             0.00027906,             0.00027906
                     38,                0.82139,                 1.4416,                0.76128,                 1.0905,                0.75036,                0.56497,                0.62853,                0.46239,                0.75047,                0.56043,                0.62139,                0.43479,                 1.0344,                 1.9979,                 1.2701,                 1.1955,             0.00026106,             0.00026106,             0.00026106
                     39,                0.80736,                 1.4131,                 0.7419,                  1.083,                0.78235,                0.54786,                0.61866,                0.45509,                0.78161,                0.54539,                0.61153,                0.43082,                 1.0426,                  2.062,                  1.305,                 1.2044,             0.00024307,             0.00024307,             0.00024307
                     40,                0.80773,                 1.4122,                0.73989,                 1.0811,                 0.7389,                0.57641,                0.62661,                0.46342,                 0.7374,                0.56825,                0.61621,                0.43363,                 1.0381,                 2.0111,                 1.2664,                 1.2107,             0.00022507,             0.00022507,             0.00022507
                     41,                0.83114,                 1.5072,                0.75788,                 1.1057,                0.73483,                0.57706,                0.62052,                0.46153,                0.72676,                0.57123,                0.61082,                0.43289,                 1.0137,                 2.0611,                 1.2614,                 1.1858,             0.00020707,             0.00020707,             0.00020707
                     42,                0.81318,                 1.4844,                0.72585,                 1.0887,                0.70872,                0.57004,                0.61725,                0.46143,                0.75102,                0.54113,                 0.6074,                0.43196,                 1.0243,                 2.1008,                 1.2955,                 1.2045,             0.00018907,             0.00018907,             0.00018907
                     43,                0.80323,                 1.4642,                0.71084,                 1.0864,                0.74865,                0.57188,                0.62763,                0.46572,                0.75872,                0.56265,                 0.6187,                 0.4388,                 1.0294,                 2.0467,                 1.2798,                 1.1897,             0.00017107,             0.00017107,             0.00017107
                     44,                0.79652,                 1.4586,                0.70504,                 1.0794,                0.74612,                0.57424,                0.62291,                0.46748,                0.73512,                0.56681,                0.60887,                0.43437,                 1.0086,                  2.047,                 1.2678,                 1.1825,             0.00015308,             0.00015308,             0.00015308
                     45,                0.78115,                 1.4278,                 0.6876,                 1.0754,                0.75275,                0.56892,                0.62435,                0.46964,                0.74981,                0.56468,                0.61737,                0.43735,                 1.0129,                 2.0947,                 1.2772,                 1.1851,             0.00013508,             0.00013508,             0.00013508
                     46,                0.77449,                 1.4187,                0.67743,                 1.0676,                0.74591,                0.55866,                0.62003,                0.46838,                0.74351,                 0.5659,                 0.6151,                0.44082,                 1.0052,                 2.0589,                 1.2785,                 1.1736,             0.00011708,             0.00011708,             0.00011708
                     47,                0.77361,                 1.3928,                0.67034,                 1.0678,                0.70984,                0.57487,                 0.6188,                0.46678,                0.71121,                0.57073,                0.61155,                 0.4372,                 1.0172,                 2.0923,                 1.3093,                 1.1962,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     48,                0.76304,                 1.3945,                0.66311,                 1.0584,                 0.7429,                0.56231,                0.62402,                0.46963,                0.73849,                0.55968,                0.61417,                0.43723,                 1.0202,                 2.0892,                 1.3155,                 1.1913,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     49,                0.75629,                 1.3778,                0.65519,                 1.0575,                0.71078,                 0.5893,                 0.6235,                0.46842,                0.70624,                0.58585,                0.61224,                0.44042,                 1.0184,                 2.0926,                 1.2863,                 1.1963,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     50,                0.75411,                  1.385,                0.65107,                 1.0527,                0.75317,                0.56218,                0.62677,                0.47155,                 0.7527,                0.56106,                 0.6163,                0.43862,                 1.0096,                 2.1075,                  1.281,                 1.1914,             4.5086e-05,             4.5086e-05,             4.5086e-05
