                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2827,                 2.9081,                 2.6762,                 1.4491,                0.43227,                0.37327,                0.35542,                0.21167,                0.41754,                0.36834,                0.33417,                0.19235,                 1.3402,                 2.6563,                 2.3927,                  1.496,             0.00030185,             0.00030185,             0.00030185
                      2,                   1.23,                 2.4246,                 1.8933,                 1.3803,                0.48862,                0.36404,                0.35812,                 0.1989,                0.49714,                0.36658,                0.35335,                0.18955,                 1.3801,                 2.7086,                 2.1889,                 1.5017,              0.0005809,              0.0005809,              0.0005809
                      3,                 1.2089,                 2.3428,                 1.7195,                 1.3562,                0.52815,                0.40935,                0.41613,                0.24511,                0.52837,                0.40397,                0.40881,                0.23152,                 1.3581,                  2.497,                 2.0666,                 1.4736,             0.00083595,             0.00083595,             0.00083595
                      4,                 1.1791,                 2.2645,                 1.6014,                  1.336,                0.54359,                0.42725,                0.41641,                 0.2723,                0.52315,                0.41608,                0.40382,                0.24734,                 1.3435,                 2.5751,                 1.9613,                 1.4568,             0.00080101,             0.00080101,             0.00080101
                      5,                  1.159,                  2.184,                 1.4946,                 1.3187,                0.60711,                0.47576,                0.50062,                0.31771,                0.62284,                 0.4549,                0.47978,                0.29724,                  1.295,                 2.4149,                 1.7371,                 1.3985,             0.00080101,             0.00080101,             0.00080101
                      6,                 1.1202,                 2.1262,                 1.4224,                 1.2973,                0.59789,                0.47648,                0.49086,                0.32164,                0.60589,                0.47859,                0.49074,                0.30993,                 1.2534,                 2.3487,                 1.6991,                 1.3949,             0.00076501,             0.00076501,             0.00076501
                      7,                 1.0932,                 2.0581,                 1.3394,                  1.274,                0.62334,                0.47944,                0.50957,                0.33813,                0.62328,                0.47396,                0.50391,                0.32603,                 1.2502,                 2.3106,                 1.6896,                 1.3498,             0.00072902,             0.00072902,             0.00072902
                      8,                 1.0787,                 2.0235,                 1.2933,                 1.2585,                0.67644,                0.50479,                0.55159,                0.38347,                0.69396,                 0.4978,                0.54347,                0.36381,                 1.1368,                 2.1938,                 1.5241,                 1.2652,             0.00069302,             0.00069302,             0.00069302
                      9,                 1.0505,                   1.97,                 1.2437,                 1.2437,                0.70726,                0.49587,                0.53618,                0.36281,                 0.7023,                 0.4912,                0.51967,                0.34206,                 1.1904,                 2.2333,                 1.5616,                 1.3281,             0.00065703,             0.00065703,             0.00065703
                     10,                 1.0382,                 1.9495,                 1.2046,                 1.2344,                0.67456,                0.54074,                0.58349,                0.40944,                0.65995,                0.53413,                0.56635,                0.38792,                 1.1544,                 2.1482,                 1.4594,                 1.2663,             0.00062103,             0.00062103,             0.00062103
                     11,                 1.0175,                 1.8928,                 1.1552,                 1.2212,                0.68888,                0.54817,                0.58466,                0.40494,                 0.6972,                0.54211,                0.57871,                0.38958,                 1.1598,                 2.1084,                 1.4416,                 1.2955,             0.00058503,             0.00058503,             0.00058503
                     12,                 1.0088,                 1.8878,                 1.1416,                 1.2137,                0.68723,                0.53277,                 0.5854,                0.40707,                0.66121,                0.53286,                0.56874,                0.38213,                 1.1576,                 2.1103,                 1.4527,                 1.3038,             0.00054904,             0.00054904,             0.00054904
                     13,                 0.9825,                   1.82,                 1.1038,                 1.2008,                0.68813,                0.54712,                0.56789,                0.39631,                0.68198,                0.54287,                0.55776,                0.37539,                   1.11,                 2.0646,                 1.4588,                  1.272,             0.00051304,             0.00051304,             0.00051304
                     14,                0.98269,                 1.8213,                 1.0784,                  1.193,                0.72606,                0.54468,                0.60108,                 0.4284,                0.73569,                0.53438,                0.59499,                 0.4016,                 1.1182,                 2.0641,                  1.407,                 1.2656,             0.00047704,             0.00047704,             0.00047704
                     15,                0.97873,                 1.8171,                 1.0633,                 1.1886,                 0.7121,                0.55498,                0.60558,                0.42614,                0.71303,                0.54817,                0.59297,                0.41275,                 1.1196,                  2.092,                 1.3504,                 1.2582,             0.00044105,             0.00044105,             0.00044105
                     16,                 1.0353,                 1.9343,                 1.1167,                 1.2459,                0.66307,                0.58533,                0.60282,                0.43698,                0.66444,                0.57934,                0.59589,                0.41601,                 1.0877,                 2.0111,                 1.3457,                 1.2269,             0.00040505,             0.00040505,             0.00040505
                     17,                 1.0045,                 1.8824,                  1.055,                 1.2261,                0.69579,                0.57668,                0.61205,                0.44543,                0.69546,                0.55964,                0.59911,                0.42212,                 1.0545,                 1.9951,                 1.2952,                 1.1971,             0.00036905,             0.00036905,             0.00036905
                     18,                 0.9777,                 1.8286,                 1.0088,                 1.2103,                0.70414,                0.55994,                0.59567,                0.43218,                0.70833,                0.55723,                0.59169,                0.41523,                 1.0767,                 2.0072,                 1.3331,                 1.2131,             0.00033306,             0.00033306,             0.00033306
                     19,                0.95794,                 1.8005,                 0.9725,                 1.1865,                0.70592,                0.55935,                 0.5952,                0.42999,                0.69548,                0.56091,                0.58643,                0.40887,                 1.0565,                   1.98,                 1.3173,                 1.2028,             0.00029706,             0.00029706,             0.00029706
                     20,                0.93305,                 1.7496,                0.95444,                 1.1764,                0.67375,                0.58373,                0.61166,                0.45561,                0.67401,                0.57872,                0.60641,                 0.4397,                  1.037,                 1.9721,                 1.3142,                 1.1877,             0.00026106,             0.00026106,             0.00026106
                     21,                0.91792,                 1.7277,                 0.9194,                  1.162,                0.69301,                0.59278,                0.62215,                0.46293,                0.69054,                0.59001,                0.61155,                0.43849,                  1.035,                  1.934,                 1.2558,                  1.189,             0.00022507,             0.00022507,             0.00022507
                     22,                0.90253,                 1.6936,                0.89339,                 1.1486,                0.69623,                0.59308,                0.62452,                0.46197,                 0.6916,                0.58239,                0.61876,                0.44205,                 1.0466,                 1.9441,                 1.2757,                 1.1992,             0.00018907,             0.00018907,             0.00018907
                     23,                0.88443,                 1.6724,                0.86156,                 1.1427,                0.72812,                0.58306,                0.62494,                 0.4688,                0.72796,                0.57415,                0.61328,                0.44541,                 1.0292,                 1.9663,                 1.2861,                 1.1891,             0.00015308,             0.00015308,             0.00015308
                     24,                0.87526,                 1.6488,                0.84714,                 1.1324,                0.72521,                0.56801,                 0.6266,                0.46546,                0.72289,                0.56363,                0.62134,                0.44639,                  1.016,                 1.9337,                 1.2476,                 1.1799,             0.00011708,             0.00011708,             0.00011708
                     25,                0.85837,                 1.6287,                0.82734,                 1.1249,                0.69925,                0.61172,                0.63405,                0.47313,                0.69405,                0.59802,                0.62643,                 0.4513,                  1.004,                 1.9072,                 1.2388,                 1.1632,             8.1083e-05,             8.1083e-05,             8.1083e-05
